"predicate","relation","count"
"deal",NULL,697
"tie",NULL,696
"achieve",NULL,696
"relate",NULL,694
"celebrate",NULL,686
"comment",NULL,685
"investigate",NULL,684
"collect",NULL,682
"subject","field of work",666
"voice",NULL,664
"advise",NULL,663
"criticize",NULL,655
"mean",NULL,650
"mark",NULL,650
"credit",NULL,649
"require",NULL,647
"need",NULL,642
"sponsor",NULL,640
"look",NULL,623
"wear",NULL,621
"prepare",NULL,619
"sell",NULL,618
"invade",NULL,616
"distinguish",NULL,605
"prove",NULL,604
"hear",NULL,602
"summon",NULL,598
"declare",NULL,595
"secure",NULL,592
"protect",NULL,590
"guide",NULL,590
"survive",NULL,589
"step",NULL,584
"submit",NULL,584
"aim",NULL,581
"specialize",NULL,578
"date",NULL,578
"understand",NULL,574
"encourage",NULL,570
"interview",NULL,567
"determine",NULL,566
"trap",NULL,565
"indicate",NULL,562
"field","field of work",562
"observe",NULL,558
"flee",NULL,554
"range",NULL,554
"kidnap",NULL,552
"record",NULL,551
"attract",NULL,544
"test",NULL,544
"own",NULL,542
"oppose",NULL,538
"drive",NULL,532
"revive",NULL,527
"faith","religion",523
"increase",NULL,522
"edit",NULL,521
"qualify",NULL,520
"order",NULL,519
"transport",NULL,518
"challenge",NULL,514
"reprise",NULL,513
"relocate",NULL,512
"co-write",NULL,511
"catch",NULL,508
"occur",NULL,502
"attribute",NULL,500
"membership","member of",494
"cry",NULL,494
"reject",NULL,494
"cover",NULL,490
"culminate",NULL,482
"fail",NULL,480
"control",NULL,478
"compose",NULL,474
"devote",NULL,470
"retain",NULL,470
"Work",NULL,468
"request",NULL,466
"master",NULL,466
"shoot",NULL,457
"invent",NULL,456
"operate",NULL,451
"enlist",NULL,450
"approach",NULL,448
"watch",NULL,446
"conceive",NULL,446
"bestow",NULL,442
"air",NULL,440
"ordain",NULL,438
"descend",NULL,436
"merge",NULL,432
"seem",NULL,432
"arrange",NULL,430
"realize",NULL,427
"draft",NULL,426
"review",NULL,422
"accuse",NULL,421
"advocate",NULL,420
"buy",NULL,420
"co-chair",NULL,418
"drop",NULL,412
"incorporate",NULL,412
"coordinate",NULL,412
"treat",NULL,410
"abandon",NULL,410
"suffer",NULL,406
"prize",NULL,406
"rejoin",NULL,404
"respond",NULL,404
"inherit",NULL,403
"possess",NULL,403
"affiliate",NULL,403
"surround",NULL,400
"criticise",NULL,398
"push",NULL,398
"lift",NULL,396
"finance",NULL,392
"exist",NULL,392
"instruct",NULL,390
"contact",NULL,390
"immigrate",NULL,388
"improve",NULL,386
"belong",NULL,382
"activity","field of work",380
"separate",NULL,379
"derive",NULL,378
"dismiss",NULL,374
"cross",NULL,372
"talk",NULL,372
"expose",NULL,363
"ensure",NULL,361
"view",NULL,361
"register",NULL,358
"hope",NULL,358
"assemble",NULL,357
"free",NULL,356
"acknowledge",NULL,356
"imagine",NULL,355
"enjoy",NULL,352
"manipulate",NULL,350
"rule",NULL,350
"reproduce",NULL,346
"file",NULL,344
"befriend",NULL,344
"reorganize",NULL,343
"donate",NULL,342
"model",NULL,340
"decline",NULL,340
"remember",NULL,340
"Area",NULL,336
"delay",NULL,336
"concern",NULL,336
"link",NULL,332
"reside",NULL,332
"Fields",NULL,330
"realise",NULL,328
"organise",NULL,328
"recognise",NULL,326
"matriculate",NULL,326
"commemorate",NULL,324
"prompt",NULL,324
"avoid",NULL,324
"designate",NULL,323
"climb",NULL,322
"display",NULL,322
"attain",NULL,320
"tap",NULL,319
"sentence",NULL,318
"debut",NULL,318
"contract",NULL,318
"question",NULL,316
"proceed",NULL,314
"negotiate",NULL,314
"lay",NULL,310
"embark",NULL,310
"convert",NULL,302
"dub",NULL,302
"quote",NULL,302
"examine",NULL,302
"sense",NULL,301
"cut",NULL,300
"hint",NULL,300
"coin",NULL,300
"unite",NULL,298
"pioneer",NULL,295
"devise",NULL,294
"absorb",NULL,294
"team",NULL,294
"purchase",NULL,294
"blame",NULL,291
"round",NULL,291
"clerk",NULL,291
"exercise",NULL,290
"distribute",NULL,290
"print",NULL,288
"manifest",NULL,287
"advance",NULL,286
"notice",NULL,286
"execute",NULL,286
"alter",NULL,284
