"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"tahmasib hossein ajdarov","http://www.wikidata.org/entity/Q64607858","Person",NULL,"award","award received","academic degree","http://www.wikidata.org/entity/Q189533","Award","According to Decree Dated 2002 of the Supreme Attestation Commission of Ukraine, Tahmasib Hossein Ajdarov was awarded with the academic degree of Doctor of Economics."
"vitaly lazarevich ginzburg","http://www.wikidata.org/entity/Q104668","Person",NULL,"honor","award received","nobel prize in physics","http://www.wikidata.org/entity/Q38104","Award","Vitaly Lazarevich Ginzburg, (; 4 October 1916  8 November 2009) was a Russian theoretical physicist who was honored with the Nobel Prize in Physics in 2003, together with Alexei Abriksov and Anthony Leggett for their ""pioneering contributions to the theory of superconductors and superfluids. """
"joan curran","http://www.wikidata.org/entity/Q6204983","Person",NULL,"award","award received","doctor","http://www.wikidata.org/entity/Q96633923","Award","Joan Curran was awarded an honorary degree of Doctor of Letters from the University of Strathclyde in 1987."
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"win","award received","nobel prize","http://www.wikidata.org/entity/Q7191","Award","In 1922, Einstein received news that he had won the Nobel Prize in November."
"di menna","http://www.wikidata.org/entity/Q16019676","Person",NULL,"award","award received","new zealand 1990 commemoration medal","http://www.wikidata.org/entity/Q16933211","Award","In 1990, di Menna was awarded the New Zealand 1990 Commemoration Medal, and in the 1997 New Year Honours, she was appointed an Officer of the New Zealand Order of Merit, for services to microbiology."
"maureen molloy","http://www.wikidata.org/entity/Q98381520","Person",NULL,"award","award received","master","http://www.wikidata.org/entity/Q3297843","Award","In 2017, the Maureen Molloy Prize in Clinical Neuropsychology was established at University of Melbourne as an award for the student with the highest average mark in the Master of Psychology (Clinical Neuropsychology) degree."
"galyna mykhailiuk","http://www.wikidata.org/entity/Q66809997","Person",NULL,"honorary title","award received","honorary title","http://www.wikidata.org/entity/Q28457366","Award","On 23 August 2021, President of Ukraine Volodymyr Zelensky signed Decree No. 406/2021, according to which Galyna Mykhailiuk was awarded the honorary title Honoured Lawyer of Ukraine."
"mudge","http://www.wikidata.org/entity/Q3327412","Person",NULL,"award","award received","medal","http://www.wikidata.org/entity/Q38593919","Award","On 29 May 1777 Mudge was elected a Fellow of the Royal Society, and in the same year was awarded the Copley medal for his Directions for making the best Composition for the Metals for reflecting Telescopes; together with a Description of the Process for Grinding, Polishing, and giving the great Speculum the true Parabolic Curve, which were communicated by the author to the society, and printed in the ""Philosophical Transactions"" (1777, lxvii."
"joan curran","http://www.wikidata.org/entity/Q6204983","Person",NULL,"award","award received","honorary degree","http://www.wikidata.org/entity/Q209896","Award","Joan Curran was awarded an honorary degree of Doctor of Letters from the University of Strathclyde in 1987."
"joshua ogunwole","http://www.wikidata.org/entity/Q79666062","Person",NULL,"award","award received","merit award","http://www.wikidata.org/entity/Q107291446","Award","In 2004, Joshua Ogunwole received research merit award for sustainable agriculture, from the Schweisfurth foundation and support Africa international of Germany."
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"award","award received","diploma","http://www.wikidata.org/entity/Q217577","Award","In 1900, Einstein passed the exams in Maths and Physics and was awarded a Federal teaching diploma."
"tahmasib hossein ajdarov","http://www.wikidata.org/entity/Q64607858","Person",NULL,"award","award received","doctor","http://www.wikidata.org/entity/Q4618975","Award","According to Decree Dated 2002 of the Supreme Attestation Commission of Ukraine, Tahmasib Hossein Ajdarov was awarded with the academic degree of Doctor of Economics."
"spider-man","http://www.wikidata.org/entity/Q2343504","Person",NULL,"win","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","From the character's inception, Spider-Man stories have won numerous awards, including:In other media."
"di menna","http://www.wikidata.org/entity/Q16019676","Person",NULL,"award","award received","order of merit","http://www.wikidata.org/entity/Q94056","Award","In 1990, di Menna was awarded the New Zealand 1990 Commemoration Medal, and in the 1997 New Year Honours, she was appointed an Officer of the New Zealand Order of Merit, for services to microbiology."
"jenner","http://www.wikidata.org/entity/Q40852","Person",NULL,"award","award received","medal","http://www.wikidata.org/entity/Q38593919","Award","Napoleon, who at the time was at war with Britain, had all his French troops vaccinated, awarded Jenner a medal, and at the request of Jenner, he released two English prisoners of war and permitted their return home."
"maureen molloy","http://www.wikidata.org/entity/Q98381520","Person",NULL,"award","award received","master","http://www.wikidata.org/entity/Q183816","Award","In 2017, the Maureen Molloy Prize in Clinical Neuropsychology was established at University of Melbourne as an award for the student with the highest average mark in the Master of Psychology (Clinical Neuropsychology) degree."
"gelber","http://www.wikidata.org/entity/Q96354919","Person",NULL,"win","award received","president","http://www.wikidata.org/entity/Q4376769","Award","He is author of ""Objective Troy: A Terrorist, A President, and the Rise of the Drone"", which won the 2016 Lionel Gelber Prize."
"guha-sapir","http://www.wikidata.org/entity/Q58494445","Person",NULL,"win","award received","award","http://www.wikidata.org/entity/Q66744316","Award","In 2009 Guha-Sapir won the Peter Safar Award for Services to Prehospital and Disaster Medicine."
