"ent_str","ent_id","ent_type","count"
"lecturer","http://www.wikidata.org/entity/Q24708213","Profession",188
"university of california","http://www.wikidata.org/entity/Q1061104","Language",187
"language","http://www.wikidata.org/entity/Q11252539","Language",185
"language","http://www.wikidata.org/entity/Q3181238","Language",185
"language","http://www.wikidata.org/entity/Q36848","Language",185
"schools","http://www.wikidata.org/entity/Q98399111","Language",183
"island","http://www.wikidata.org/entity/Q189","Country",183
"marine","http://www.wikidata.org/entity/Q2962165","Language",181
"steel","http://www.wikidata.org/entity/Q2005691","Person",180
"the us","http://www.wikidata.org/entity/Q738258","Language",178
"the us","http://www.wikidata.org/entity/Q30","Country",178
"western","http://www.wikidata.org/entity/Q3551358","Language",177
"western","http://www.wikidata.org/entity/Q1939221","Language",177
"western","http://www.wikidata.org/entity/Q1552113","Language",177
"scholarship","http://www.wikidata.org/entity/Q63390091","Award",175
"scholarship","http://www.wikidata.org/entity/Q4813771","Award",175
"smith","http://www.wikidata.org/entity/Q838566","Profession",173
"positions","http://www.wikidata.org/entity/Q11488158","Profession",172
"positions","http://www.wikidata.org/entity/Q11488158","Award",172
"positions","http://www.wikidata.org/entity/Q7810129","Award",172
"doctorate","http://www.wikidata.org/entity/Q849697","Award",168
"doctorate","http://www.wikidata.org/entity/Q3033549","Award",168
"advisor","http://www.wikidata.org/entity/Q2994387","Profession",168
"advisor","http://www.wikidata.org/entity/Q109554786","Profession",168
"doctorate","http://www.wikidata.org/entity/Q3033549","Doctoral Degree",168
"officer","http://www.wikidata.org/entity/Q384593","Profession",166
"officer","http://www.wikidata.org/entity/Q61022630","Profession",166
"jewish","http://www.wikidata.org/entity/Q9268","Belief",165
"basis","http://www.wikidata.org/entity/Q13202","Language",161
"swamp thing","http://www.wikidata.org/entity/Q54422296","Person",161
"mechanics","http://www.wikidata.org/entity/Q327029","Profession",161
"official","http://www.wikidata.org/entity/Q716711","Profession",159
"official","http://www.wikidata.org/entity/Q3502546","Profession",159
"official","http://www.wikidata.org/entity/Q1757103","Profession",159
"galileo","http://www.wikidata.org/entity/Q307","Person",159
"canada","http://www.wikidata.org/entity/Q16","Country",159
"official","http://www.wikidata.org/entity/Q7079487","Profession",159
"universities","http://www.wikidata.org/entity/Q917874","Language",154
"researchers","http://www.wikidata.org/entity/Q1650915","Profession",147
"teacher","http://www.wikidata.org/entity/Q37226","Profession",146
"teacher","http://www.wikidata.org/entity/Q974144","Profession",146
"asimov","http://www.wikidata.org/entity/Q34981","Person",145
"spanish","http://www.wikidata.org/entity/Q1321","Language",144
"companion","http://www.wikidata.org/entity/Q5155473","Profession",141
"industrial","http://www.wikidata.org/entity/Q6606110","Profession",139
"consultant","http://www.wikidata.org/entity/Q15978655","Profession",138
"consultant","http://www.wikidata.org/entity/Q5164591","Profession",138
"consultant","http://www.wikidata.org/entity/Q2994387","Profession",138
"physicist","http://www.wikidata.org/entity/Q169470","Profession",137
"thatcher","http://www.wikidata.org/entity/Q20600868","Profession",136
"china","http://www.wikidata.org/entity/Q148","Country",134
"inventor","http://www.wikidata.org/entity/Q205375","Profession",132
"models","http://www.wikidata.org/entity/Q4610556","Profession",131
"models","http://www.wikidata.org/entity/Q1630100","Profession",131
"mexico","http://www.wikidata.org/entity/Q96","Country",131
"the hulk","http://www.wikidata.org/entity/Q188760","Person",127
"the academy","http://www.wikidata.org/entity/Q3233780","Academia of Science",126
"pioneer","http://www.wikidata.org/entity/Q13393921","Profession",125
"master's degree","http://www.wikidata.org/entity/Q183816","Award",123
"doctor who","http://www.wikidata.org/entity/Q34358","Person",120
"medical research","http://www.wikidata.org/entity/Q2752427","Profession",120
"engineers","http://www.wikidata.org/entity/Q81096","Profession",119
"bachelor's degree","http://www.wikidata.org/entity/Q6008527","Award",118
"bachelor's degree","http://www.wikidata.org/entity/Q163727","Award",118
"academy of sciences","http://www.wikidata.org/entity/Q965731","Academia of Science",117
"eight","http://www.wikidata.org/entity/Q4530108","Person",115
"queen","http://www.wikidata.org/entity/Q16511993","Profession",115
