"ent_str","ent_id","ent_type","count"
"painter","http://www.wikidata.org/entity/Q288728","Profession",42
"mexican","http://www.wikidata.org/entity/Q96","Country",41
"anthony","http://www.wikidata.org/entity/Q572811","Award",41
"mexican","http://www.wikidata.org/entity/Q13300","Language",41
"taiwan","http://www.wikidata.org/entity/Q865","Country",40
"delegate","http://www.wikidata.org/entity/Q994779","Profession",40
"critics","http://www.wikidata.org/entity/Q6430706","Profession",40
"argentina","http://www.wikidata.org/entity/Q414","Country",40
"designer","http://www.wikidata.org/entity/Q5322166","Profession",40
"zor-el","http://www.wikidata.org/entity/Q9291384","Person",40
"medical officer","http://www.wikidata.org/entity/Q10855616","Profession",40
"designer","http://www.wikidata.org/entity/Q62091180","Profession",40
"candidates","http://www.wikidata.org/entity/Q2383393","Award",40
"washington university","http://www.wikidata.org/entity/Q777403","Language",40
"guardian","http://www.wikidata.org/entity/Q2519927","Award",40
"plankton","http://www.wikidata.org/entity/Q57312855","Person",40
"candidates","http://www.wikidata.org/entity/Q2878144","Award",40
"priest","http://www.wikidata.org/entity/Q106914679","Award",39
"trustees","http://www.wikidata.org/entity/Q67378402","Profession",39
"undergraduate degree","http://www.wikidata.org/entity/Q6008527","Award",39
"merchant","http://www.wikidata.org/entity/Q3704253","Profession",39
"priest","http://www.wikidata.org/entity/Q106983414","Award",39
"merchant","http://www.wikidata.org/entity/Q215536","Profession",39
"priest","http://www.wikidata.org/entity/Q96236305","Profession",39
"professor x","http://www.wikidata.org/entity/Q838076","Person",39
"professor x","http://www.wikidata.org/entity/Q105350971","Person",39
"attorney","http://www.wikidata.org/entity/Q40348","Profession",39
"doctoral degree","http://www.wikidata.org/entity/Q849697","Award",39
"trustees","http://www.wikidata.org/entity/Q2047357","Profession",39
"businessman","http://www.wikidata.org/entity/Q43845","Profession",38
"publisher","http://www.wikidata.org/entity/Q2516866","Profession",38
"publisher","http://www.wikidata.org/entity/Q175151","Profession",38
"intelligent design","http://www.wikidata.org/entity/Q9240","Language",38
"portugal","http://www.wikidata.org/entity/Q45","Country",38
