"ent_str","ent_id","ent_type","count"
"the University of California, Berkeley","the University of California, Berkeley","ORG",52
"Gallifrey","Gallifrey","PERSON",52
"Doctor Manhattan","Doctor Manhattan","PERSON",52
"Humboldt","Humboldt","LOC",52
"Johns Hopkins University","Johns Hopkins University","ORG",52
"Elliott","Elliott","PERSON",52
"DC Comics","DC Comics","ORG",51
"Georgia","Georgia","GPE",51
"Steele","Steele","PERSON",51
"Jones","Jones","PERSON",51
"Gwen Stacy","Gwen Stacy","PERSON",51
"Melbourne","Melbourne","GPE",51
"Florence","Florence","GPE",50
"the following year","the following year","DATE",50
"""Doctor Who""","""Doctor Who""","WORK_OF_ART",50
"Rodchenkov","Rodchenkov","PERSON",50
"Snyder","Snyder","PERSON",49
"the University of Illinois","the University of Illinois","ORG",49
"the 1950s","the 1950s","DATE",49
"Yaalon","Yaalon","PERSON",49
"Nefarious","Nefarious","PERSON",49
"the X-Men","the X-Men","ORG",48
"Darwin","Darwin","PERSON",48
"TARDIS","TARDIS","PRODUCT",48
"Jor-El","Jor-El","PERSON",48
"Peter Parker","Peter Parker","PERSON",48
"Armenian","Armenian","NORP",48
"the 1980s","the 1980s","DATE",48
"Williams","Williams","PERSON",48
"Eccleston","Eccleston","PERSON",48
"Muslim","Muslim","NORP",47
"the Second World War","the Second World War","EVENT",47
"annual","annual","DATE",47
"Ukraine","Ukraine","GPE",47
"Russian","Russian","LANGUAGE",47
"Brundle","Brundle","PERSON",47
"Quito","Quito","GPE",47
"French","French","LANGUAGE",47
"Taiwan","Taiwan","GPE",47
"Egypt","Egypt","GPE",46
"Roberts","Roberts","PERSON",46
"Azerbaijan","Azerbaijan","GPE",46
"Mandelbrot","Mandelbrot","PERSON",46
"Michigan","Michigan","GPE",46
"Aquaman","Aquaman","PERSON",46
"Howard","Howard","PERSON",46
"Geneva","Geneva","GPE",45
"Doctor Doom","Doctor Doom","PERSON",45
"Jerusalem","Jerusalem","GPE",45
"Jenner","Jenner","PERSON",45
"San Francisco","San Francisco","GPE",45
"Thorn","Thorn","PERSON",44
"Henson","Henson","PERSON",44
"Jackal","Jackal","PERSON",44
"the American Academy of Arts and Sciences","the American Academy of Arts and Sciences","ORG",44
"the University of Pennsylvania","the University of Pennsylvania","ORG",44
"the 1960s","the 1960s","DATE",44
"Humboldt","Humboldt","GPE",44
"Scottish","Scottish","NORP",44
"Cortex","Cortex","PERSON",44
"Lynch","Lynch","PERSON",43
"Danish","Danish","NORP",43
"Hebrew","Hebrew","LANGUAGE",43
"Edinburgh","Edinburgh","GPE",43
"the Massachusetts Institute of Technology","the Massachusetts Institute of Technology","ORG",43
"Austria","Austria","GPE",43
"the Academy of Sciences","the Academy of Sciences","ORG",43
"Labour","Labour","ORG",43
"Becker","Becker","PERSON",43
"Zurich","Zurich","GPE",42
"Finland","Finland","GPE",42
"South America","South America","LOC",42
"Institute","Institute","ORG",42
"Illinois","Illinois","GPE",42
"Church","Church","ORG",42
"Dewey","Dewey","PERSON",42
"Dracula","Dracula","PERSON",42
"Argentina","Argentina","GPE",42
"Antarctic","Antarctic","LOC",41
"Filipino","Filipino","NORP",41
"Portugal","Portugal","GPE",41
"the University of California","the University of California","ORG",41
"Victor","Victor","PERSON",41
"Tennant","Tennant","PERSON",41
"a bachelor's degree","a bachelor's degree","WORK_OF_ART",41
"Vulko","Vulko","PERSON",40
"thousands","thousands","CARDINAL",40
"Anderson","Anderson","PERSON",40
"a master's degree","a master's degree","WORK_OF_ART",40
"the University of Washington","the University of Washington","ORG",40
"Ireland","Ireland","GPE",40
"Indiana","Indiana","GPE",40
"Seattle","Seattle","GPE",40
"Faber","Faber","PERSON",40
"Massey","Massey","PERSON",39
"Prague","Prague","GPE",39
"the Year","the Year","DATE",39
"Joteyko","Joteyko","PERSON",39
"Maric","Maric","PERSON",39
"Frink","Frink","PERSON",39
"the Swamp Thing","the Swamp Thing","EVENT",39
"five years","five years","DATE",38
"the day","the day","DATE",38
"Smythe","Smythe","PERSON",38
"Marvel","Marvel","PERSON",38
"Colorado","Colorado","GPE",38
"the University of Oxford","the University of Oxford","ORG",38
"Alaska","Alaska","GPE",38
"St. Louis","St. Louis","GPE",38
"State","State","ORG",38
"Kepler","Kepler","PERSON",38
"Houston","Houston","GPE",38
"Theremin","Theremin","PERSON",38
"Beast","Beast","PERSON",38
"Logan","Logan","PERSON",37
"the National Institutes of Health","the National Institutes of Health","ORG",37
"Portuguese","Portuguese","NORP",37
"Irish","Irish","NORP",37
"Persian","Persian","NORP",37
"hundreds","hundreds","CARDINAL",37
"Klingberg","Klingberg","PERSON",37
"Czech","Czech","NORP",37
"Turkey","Turkey","GPE",37
"Palestinian","Palestinian","NORP",37
"Kellaway","Kellaway","PERSON",37
"Wisconsin","Wisconsin","GPE",37
"Connecticut","Connecticut","GPE",36
"Antarctica","Antarctica","LOC",36
"d'Auvergne","d'Auvergne","PERSON",36
"Swedish","Swedish","NORP",36
"Swiss","Swiss","NORP",36
"the years","the years","DATE",36
"Norway","Norway","GPE",36
"Kaine","Kaine","PERSON",36
"African American","African American","NORP",36
"the University of Texas","the University of Texas","ORG",36
"Paine","Paine","PERSON",36
"Schmitt","Schmitt","PERSON",36
"Arabic","Arabic","LANGUAGE",36
"Purdue University","Purdue University","ORG",36
"University College London","University College London","ORG",36
"Nobel","Nobel","WORK_OF_ART",35
"Kassabian","Kassabian","PERSON",35
"the year","the year","DATE",35
"Doctor Psycho","Doctor Psycho","PERSON",35
"Moore","Moore","PERSON",35
"Imperial College London","Imperial College London","ORG",35
"Cyclops","Cyclops","PRODUCT",35
"Granado","Granado","PERSON",35
"Killer Frost","Killer Frost","PERSON",35
"Destiny","Destiny","PERSON",35
"Bruce","Bruce","PERSON",35
"Belgium","Belgium","GPE",35
"Spengler","Spengler","PERSON",35
"Henderson","Henderson","PERSON",34
"The following year","The following year","DATE",34
"Princeton","Princeton","GPE",34
"Zor-El","Zor-El","PERSON",34
"Rio de Janeiro","Rio de Janeiro","GPE",34
"Wonder Woman","Wonder Woman","WORK_OF_ART",34
"Senate","Senate","ORG",34
"that year","that year","DATE",34
"1970s","1970s","DATE",34
"Cornell","Cornell","ORG",34
"Palestine","Palestine","GPE",34
"Simpson","Simpson","PERSON",34
"Santos Dumont","Santos Dumont","PERSON",34
"Clara","Clara","PERSON",34
"Quatermass","Quatermass","PERSON",34
"McGill University","McGill University","ORG",33
"Hawaii","Hawaii","GPE",33
"North America","North America","LOC",33
"Marvel Comics","Marvel Comics","ORG",33
"the National Science Foundation","the National Science Foundation","ORG",33
"the 1930s","the 1930s","DATE",33
"Djerassi","Djerassi","PERSON",33
"Marconi","Marconi","ORG",33
"Arago","Arago","PERSON",33
"one year","one year","DATE",32
"Early years","Early years","DATE",32
"the British Empire","the British Empire","ORG",32
"Salinger","Salinger","PERSON",32
"the University of London","the University of London","ORG",32
"Dallas","Dallas","GPE",32
"Pupin","Pupin","PERSON",32
"the 1990s","the 1990s","DATE",32
"Van Helsing","Van Helsing","PERSON",32
"Kroenen","Kroenen","PERSON",32
"Great Britain","Great Britain","GPE",32
"Stanford","Stanford","ORG",32
"Sri Lanka","Sri Lanka","GPE",32
"St. Petersburg","St. Petersburg","GPE",32
"Kirby","Kirby","PERSON",32
"Sao Paulo","Sao Paulo","GPE",32
"Mexican","Mexican","NORP",32
"Grinsell","Grinsell","PERSON",32
"the University of Toronto","the University of Toronto","ORG",32
"Western","Western","NORP",32
"Olivier","Olivier","PERSON",31
"Egyptian","Egyptian","NORP",31
"the University of Edinburgh","the University of Edinburgh","ORG",31
"Massachusetts Institute of Technology","Massachusetts Institute of Technology","ORG",31
"Leningrad","Leningrad","GPE",31
"Levinson","Levinson","PERSON",31
"Roman","Roman","NORP",31
"Harvey","Harvey","PERSON",31
"German","German","LANGUAGE",31
"Ichazo","Ichazo","PERSON",31
"New South Wales","New South Wales","GPE",31
"Rittmeister","Rittmeister","PERSON",31
"the University of Sydney","the University of Sydney","ORG",31
"New Mexico","New Mexico","GPE",31
"Council","Council","ORG",31
